编号,所属项目,所属模块,相关需求,任务名称,任务描述,任务类型,优先级,预计开始,实际开始,截止日期,任务状态,最初预计,总计消耗,预计剩余,抄送给,进度,由谁创建,创建日期,指派给,指派日期,由谁完成,实际完成,由谁取消,取消时间,由谁关闭,关闭时间,关闭原因,最后修改,最后修改日期,附件
816,移动端项目对接(#2),/标准化（超级API+标准备案接口）(#2),江西国寿绿通卡对接(#476),江西国寿绿通卡对接 ,"
",开发,3,2021/8/31,0000-00-00 00:00:00,2021/9/2,未开始,0,0,0,,0%,朱伟,2021/8/31,贺长春,2021/8/31,,0000-00-00,,0000-00-00,,0000-00-00,,,0000-00-00,
815,移动端项目对接(#2),/标准化（超级API+标准备案接口）(#2),江苏国寿延期卡项目页面流程跳转(#477),江苏国寿延期卡项目页面流程跳转 ,"
",开发,3,2021/9/2,0000-00-00 00:00:00,2021/9/3,未开始,0,0,0,,0%,朱伟,2021/8/31,王春生,2021/8/31,,0000-00-00,,0000-00-00,,0000-00-00,,,0000-00-00,
814,移动端项目对接(#2),/其他（杂糅其他业务系统功能如HBS）(#4),蛮牛垫付流程增加下单推送字段(#474),蛮牛垫付流程增加下单推送字段 ,"
  完成以下两个功能点
  1、HBS预约单中需要加上【权益卡包ID】、【权益卡名称】两个字段展示信息
  2、HBS的蛮牛垫付工单中加上【权益卡包ID】、【权益卡名称】两个字段展示信息
",开发,3,2021/9/2,0000-00-00 00:00:00,2021/9/3,未开始,0,0,0,,0%,朱伟,2021/8/27,谭迁超,2021/8/27,,0000-00-00,,0000-00-00,,0000-00-00,,,0000-00-00,
813,移动端项目对接(#2),/其他（杂糅其他业务系统功能如HBS）(#4),蛮牛垫付流程增加下单推送字段(#474),蛮牛垫付流程增加下单推送字段 ,完成备案字段的添加,开发,3,2021/9/2,0000-00-00 00:00:00,2021/9/3,未开始,5,0,5,,0%,朱伟,2021/8/27,党晓龙,2021/8/27,,0000-00-00,,0000-00-00,,0000-00-00,,朱伟,2021/8/27,
795,移动端项目对接(#2),/非标准化（定制开发）(#3),暖哇单服务接口开发需求(#443),暖哇单服务接口开发需求 测试,"在原服务接口基础上增加【服务类型】参数，同时支持访问服务集成页和单独的服务页面


见文档2.3部分",测试,3,0000-00-00,0000-00-00 00:00:00,0000-00-00,未开始,4,0,4,,0%,权虹,2021/8/19,蒋大洋,2021/8/19,,0000-00-00,,0000-00-00,,0000-00-00,,,0000-00-00,
763,移动端项目对接(#2),/非标准化（定制开发）(#3),利宝项目定制化备案接口开发需求(#425),利宝项目定制化备案接口开发需求 ,提供备案到微服务的备案接口文档,开发,3,2021/8/16,0000-00-00 00:00:00,2021/8/16,未开始,8,0,8,,0%,朱伟,2021/8/12,贺长春,2021/8/25,,0000-00-00,,0000-00-00,,0000-00-00,,党晓龙,2021/8/25,
575,移动端项目对接(#2),/其他（杂糅其他业务系统功能如HBS）(#4),太平超e保标准化接口对接(#274),太平超e保标准化接口对接 ,前端同事配合晓龙联调需求文档中2.2的所有服务页面,开发,3,2021/6/18,0000-00-00 00:00:00,2021/6/18,未开始,8,0,16,,0%,朱伟,2021/6/15,王春生,2021/6/15,,0000-00-00,,0000-00-00,,0000-00-00,,陈旸,2021/6/15,
538,移动端项目对接(#2),/非标准化（定制开发）(#3),泊云-折扣购药服务需求对接(#236),泊云-折扣购药服务需求对接 ,"
",开发,3,2021/6/1,0000-00-00 00:00:00,2021/6/1,未开始,8,0,8,,0%,朱伟,2021/5/31,王春生,2021/6/1,,0000-00-00,,0000-00-00,,0000-00-00,,陈旸,2021/6/1,
812,移动端项目对接(#2),/标准化（超级API+标准备案接口）(#2),珊瑚API部分服务关闭切换账户功能(#461),珊瑚API部分服务关闭切换账户功能 ,以后台配置的形式来标记服务是否可以切换账号，给前端返回对应标识,开发,3,2021/8/27,2021/8/27 14:44,2021/8/30,进行中,3,0,3,,0%,朱伟,2021/8/27,谭迁超,2021/8/27,,0000-00-00,,0000-00-00,,0000-00-00,,谭迁超,2021/8/27,
747,移动端项目对接(#2),/定时邮件(#140),安心+水滴项目服务记录提取定时邮件(#412),安心+水滴项目服务记录提取定时邮件 ,"共涉及2个项目的多个产品，按照产品配置表区分为3类：安心渠道安心产品、水滴渠道安心产品、水滴渠道水滴产品

安心渠道安心产品需要统计：电话医生（健康咨询）、挂号、重疾、垫付、在线咨询的服务记录

水滴渠道安心产品和水滴渠道水滴产品需要统计：电话医生（健康咨询）、医生回拨（回拨工单）、重疾、垫付、在线咨询的服务记录

其中电话医生（健康咨询）、医生回拨（回拨工单）、挂号、重疾、垫付的服务记录来自HBS的工单导出，在线咨询来自udesk的服务记录

详情可见附件的示例数据，包括国鑫导出的7月工单数据，以及从udesk后台导出的udesk记录，按照示例数据的字段进行提取。

示例中空白的sheet代表无数据

提取规则：

每月1号提取前一个自然月的数据，整理为3个excel，邮件发送至：xihuiwang@healthlink.cn

",开发,3,2021/8/19,2021/8/9 9:40,2021/8/20,进行中,0,0,16,,0%,赵百灵,2021/8/6,谭迁超,2021/8/6,,0000-00-00,,0000-00-00,,0000-00-00,,谭迁超,2021/8/18,
803,移动端项目对接(#2),/非标准化（定制开发）(#3),安享百万医院清单更新(#462),安享百万医院清单更新 ,"
",开发,3,2021/8/25,2021/8/27 14:20,2021/8/26,已完成,2,0.5,0,,100%,朱伟,2021/8/25,朱伟,2021/8/27,谭迁超,2021/8/27,,0000-00-00,,0000-00-00,,谭迁超,2021/8/27,
799,移动端项目对接(#2),/非标准化（定制开发）(#3),暖哇单服务接口开发需求(#443),暖哇单服务接口开发需求 ,"
",开发,3,2021/8/23,2021/8/23 14:18,2021/8/23,已完成,2,2,0,,100%,朱伟,2021/8/23,朱伟,2021/8/23,党晓龙,2021/8/23,,0000-00-00,,0000-00-00,,党晓龙,2021/8/23,
798,移动端项目对接(#2),/非标准化（定制开发）(#3),暖哇单服务接口开发需求(#443),暖哇单服务接口开发需求 ,"
",开发,3,2021/8/23,2021/8/30 17:58,2021/8/24,已完成,3,3,0,,100%,朱伟,2021/8/23,朱伟,2021/8/30,陈旸,2021/8/30,,0000-00-00,,0000-00-00,,陈旸,2021/8/30,
