"编号","所属产品","所属模块","所属计划","需求来源","来源备注","需求名称","需求描述","验收标准","关键词","优先级","预计工时","当前状态","所处阶段","T","B","C","由谁创建","创建日期","指派给","指派日期","抄送给","由谁评审","评审时间","由谁关闭","关闭日期","关闭原因","最后修改","最后修改日期","细分需求","相关需求","重复需求ID","附件"
"253","2021普惠项目对接(#1)","/标准化（超级API+标准备案接口）(#2)","","","","安享预约接口医院匹配规则调整和医院清单更新","预约接口医院匹配规则调整：
预约接口通过医院代码创建预约单时需要加一个判断规则
如果传来的医院代码不是【ZGS0060201】则按现在匹配逻辑不变，如果传来的医院代码是【ZGS0060201】，则再将预约接口传来的医院名称反填在预约单上。


医院清单更新：
太保删除了一批不符合垫付规则的医院，详见附件，excel中2个sheet分别是在原始清单后标注了删除标识，和删除对应医院后应该更新的清单。
需要同时更新垫付医院清单H5和HBS后台留存的医院清单。","","","3","0","激活","已立项","1","0","0","刘博阳","2021-06-04","","0000-00-00","","","0000-00-00","","0000-00-00","","","0000-00-00","","","0","安享百万垫付医院网络清单0604(删除无资格医院) .xlsx
",""
"248","2021普惠项目对接(#1)","/标准化（超级API+标准备案接口）(#2)","","","","农银人寿备案接口开发","产品名称： 农银人寿会员健康增值服务
 产品标识码： I13AS1
产品类别： 个性化产品


按CRM数据模板提供备案接口","","","3","0","激活","已立项","1","0","0","刘博阳","2021-06-03","","0000-00-00","","","0000-00-00","","0000-00-00","","","0000-00-00","","","0","",""
"246","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","","","","【变更】北京国寿分诊导医服务卡定时邮件任务","原禅道号170需求，邮件标题：北京国寿分诊导医服务卡项目激活数据


邮件标题改为：北京国寿分诊导医服务卡激活+服务记录数据
邮件内容改为：附件中是北京国寿分诊导医服务卡的激活清单和服务记录，请查收！



邮件附件分为2个excel，目前每天发送的备案数据放在第一个excel保持不变


额外增加3项服务的记录统计，放在第二个excel里，统计范围是每天凌晨统计来自此产品的所有健康咨询、挂号工单记录。
手机号字段需要将中间4位用星号脱敏


统计字段见附件excel","","","3","0","激活","研发中","1","0","0","刘博阳","2021-06-02","","0000-00-00","","","0000-00-00","","0000-00-00","","","0000-00-00","","","0","统计字段.xlsx
",""
"238","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","","","华泰视频医生定时邮件修改","原禅道121需求，邮件标题：I21AB9-华泰家庭视频医生咨询卡服务记录


提取字段改为：产品名称、用户姓名、卡号、省份、城市、手机号（中间4位脱敏）、身份证号（脱敏）、服务使用日期。


标记黄色的字段是新增加的字段


按照修改后的格式重新提取一次5月的服务记录发送邮件","","","3","0","激活","研发完毕","1","0","0","刘博阳","2021-06-01","","0000-00-00","","","0000-00-00","","0000-00-00","","","0000-00-00","","","0","",""
"235","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","客户","","水滴服务页拨叫号码修改","来自水滴渠道的所有产品类型（百万医疗2021、百万医疗、重疾2021、重疾、长险），将所有从前端页面直接拨打电话的服务（电话医生、重疾绿通、住院垫付、交通费垫付、配医陪同），拨叫的电话号码统一修改为01059012357


我找到最早提供的水滴服务页接口地址：https://wptapi.healthlink.cn/wpt-api/shuidibao/html/index.html?encrypt=","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-05-31","Closed","2021-06-02","","","0000-00-00","刘博阳","2021-06-02","已完成","刘博阳","2021-06-02","","","0","",""
"233","2021普惠项目对接(#1)","/其他（杂糅其他业务系统功能如HBS）(#4)","2021普惠项目上半年计划(#1)","","","安享百万垫付工单定时邮件统计需求","每天早上8点前提取来自安享百万的全量垫付工单，按照表格中的【垫付申请日期】字段升序排列

邮件标题：安享百万住院垫付工单数据汇总
邮件内容：附件中是安享百万住院垫付工单数据汇总，请查收！
附件表头：见附件（工单中没有值的在excel里就传空）


邮件发送至：xiaoyanlin@healthlink.cn、talentcheng@healthlink.cn、lizhang@healthlink.cn

","","","3","0","激活","研发完毕","1","0","0","刘博阳","2021-05-28","刘博阳","0000-00-00","","","0000-00-00","","0000-00-00","","刘博阳","2021-05-28","","","0","安享百万垫付工单定时邮件.xlsx
",""
"232","2021普惠项目对接(#1)","/标准化（超级API+标准备案接口）(#2)","2021普惠项目上半年计划(#1)","客户","","千菌方APP对接需求","提供3个接口

","","","3","0","激活","研发完毕","1","0","0","刘博阳","2021-05-28","","0000-00-00","","","0000-00-00","","0000-00-00","","","0000-00-00","","","0","千菌方APP对接开发需求V1.0.docx
",""
"228","2021普惠项目对接(#1)","/其他（杂糅其他业务系统功能如HBS）(#4)","2021普惠项目上半年计划(#1)","","","太平健康档案及挂号数据统计定时邮件","原定时邮件标题：太平健康档案及挂号数据统计


将以下两个产品添加到定时邮件中，需要统计健康档案、挂号、视频医生的服务量（邮件中还是企鹅医生应该调整为统计和缓的服务量）

  

  太平人寿线上医生超e保2021增值服务   I21AE4
  太平人数线上医生超e保2021慢病版增值服务   I21AM4
","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-05-27","Closed","2021-06-01","","","0000-00-00","刘博阳","2021-06-01","已完成","刘博阳","2021-06-01","","","0","",""
"220","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","客户","","udesk视频医生接口相关需求","一、远盟提供服务记录接收接口
    根据udesk提供的服务记录字段（附件pdf最后一段的“视频结束回调请求体”），远盟提供一份接收服务记录的接口地址，udesk回传的时效为：每完成一次视频对话就通过接口回传一条记录。




二、调起小程序二维码接口：
    在原接口参数中增加一个字段【bizId】，此字段没有业务功能udesk不会做处理，在这个字段里可以传远盟的自定义内容，【customChannel】字段只用来传视频路由
    等udesk配置好回传地址后，先用海外视频医生服务测试两个接口，
    
对海外视频接口的调整：
      1、海外视频路由：HYSPYS
      2、原先通过【customChannel】字段传的内容统一改到【bizId】字段里



","","","3","0","已关闭","已关闭","2","0","0","刘博阳","2021-05-25","Closed","2021-06-01","","","0000-00-00","刘博阳","2021-06-01","已完成","刘博阳","2021-06-01","","","0","Udesk视频小程序对接文档v1.0.1.pdf
",""
"219","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","客户","","内蒙国寿大健康项目需求变更","基于禅道174需求：
1、产品配置表中新增了6个产品，卡激活接口中返回的等级做相应调整
2、在集成页/我的服务卡页面中新增卡升级功能，允许升级的服务卡以及升级规则详见文档","","","3","0","已关闭","已关闭","2","0","0","刘博阳","2021-05-25","Closed","2021-06-01","","","0000-00-00","刘博阳","2021-06-01","已完成","刘博阳","2021-06-01","","","0","内蒙国寿大健康项目开发需求V3.0.docx
内蒙国寿产品配置525.xlsx
",""
"211","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","客户","","安心百万住院垫付回传txt字段更新","见文档2.2.1部分，涉及垫付的案件信息采集页增加受益人内容，和回传txt增加字段。需要在5月28号上线。


1、  增加受益人信息部分，excel序号82到106字段。证件类型和职业代码见sheet页。页面上选择职业时需要和选择疾病类似，支持手动搜索选择，每条受益人只可选择一个职业。txt中受益人字段的层级关系与领款人同级。
2、  序号118枚举值更新
","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-05-20","Closed","2021-06-02","","","0000-00-00","刘博阳","2021-06-02","已完成","刘博阳","2021-06-02","","","0","安享百万住院垫付开发需求V8.2.docx
安享理赔回传接口规格定义（最终确定版）.xlsx
",""
"206","2021普惠项目对接(#1)","/非标准化（定制开发）(#3)","2021普惠项目上半年计划(#1)","客户","","安享百万医院清单+医院代码更新","资源团队根据上次安享提供的医院范围过滤掉了一部分无法提供服务的医院，本次清单作为上线前的最终版，需要在21号前完成上线。


一：按照EXCEL的医院代码+医院名称字段，更新HBS案件信息采集页和预约接口的医院代码


二：按照医院名称+省份+城市字段，更新下面的医院清单，H5中去掉区县的搜索条件。
https://lvtong.healthlink.cn/shanhu-manager/html/careList/advanceHospitalList.html


5.20：修改清单中的错别字","","","3","0","已关闭","已关闭","2","0","0","刘博阳","2021-05-19","Closed","2021-05-24","","","0000-00-00","刘博阳","2021-05-24","已完成","刘博阳","2021-05-24","","","0","安享百万垫付医院网络清单0519(终极确认版).xlsx
安享百万垫付医院网络清单0520(错别字修改版).xlsx
",""
