"编号","所属产品","所属模块","所属计划","需求来源","来源备注","需求名称","需求描述","验收标准","关键词","优先级","预计工时","当前状态","所处阶段","T","B","C","由谁创建","创建日期","指派给","指派日期","抄送给","由谁评审","评审时间","由谁关闭","关闭日期","关闭原因","最后修改","最后修改日期","细分需求","相关需求","重复需求ID","附件"
"237","珊瑚健康管家(#14)","/(#0)","","","","登录页面弹窗内协议更新","如下图，从珊瑚登录页面直接登录时，如果填写的手机号没有注册过帐户会弹出下面这个弹窗，弹窗中的协议还是旧版协议，此位置要放新版的《远盟普惠用户注册协议》和《远盟普惠隐私政策协议》，正常排期下周上线
<img src=““{741.png}““ alt=““““ width=““150““ height=““324““ title=““““ />","","","1","0","激活","研发完毕","1","0","0","刘博阳","2021-06-01","","0000-00-00","","","0000-00-00","","0000-00-00","","","0000-00-00","","","0","",""
"225","珊瑚健康管家(#14)","/(#0)","","","","公众号合规调整需求","根据共i是法务和律师评审，珊瑚公众号需要做以下的调整以符合法律规范，具体需求见文档，需要在下周一上线


蓝湖位置：大前端项目/刘博阳/《珊瑚健康+健保助手》修正

","","","1","0","已关闭","已关闭","1","0","0","刘博阳","2021-05-26","Closed","2021-06-01","","","0000-00-00","刘博阳","2021-06-01","已完成","刘博阳","2021-06-01","","","0","珊瑚公众号合规调整需求V1.0.docx
协议文本.zip
",""
"204","珊瑚健康管家(#14)","/医疗助手(#56)","","","","珊瑚健康视频模块开发需求","在医疗助手页开发视频入口用于观看健康视频，本次提供72个视频统一上传，在绿通后台增加视频维护功能用于未来运营的增删改查。


预计上线时间6月中旬","","","3","0","已关闭","已关闭","4","0","0","刘博阳","2021-05-18","Closed","2021-05-25","","","0000-00-00","刘博阳","2021-05-25","已完成","刘博阳","2021-05-25","","","0","珊瑚健康视频模块开发需求V1.0.docx
",""
"175","珊瑚健康管家(#14)","/(#0)","","","","隐私政策更新","本次更新了以下三点内容，请在5月10号更新上线
1：<img src=““{517.png}““ alt=““““ />
2：<img src=““{516.png}““ alt=““““ />
3：<img src=““{518.png}““ alt=““““ />","","","1","0","已关闭","已关闭","2","0","0","刘博阳","2021-05-08","Closed","2021-05-11","","","0000-00-00","刘博阳","2021-05-11","已完成","刘博阳","2021-05-11","","","0","6.远盟普惠隐私政策-JTGC20210510.docx
",""
"172","珊瑚健康管家(#14)","/医疗助手(#56)","","","","珊瑚医疗资源展示开发需求","在珊瑚公众号医疗助手页增加医疗资源入口，展示的医院信息来自陈医生提供的excel，医生信息需要从好大夫网站上爬取。


0507：医院清单以此版本为准，将多个电话用分号隔开


05-13：对于从好大夫网站爬取的医生信息：



  前端页面不展示头像+擅长+简介三个字段均为空的数据。
  医生信息中缺少【简介】的数据，在医生列表页面的灰色框内展示【擅长】字段。

05-14（V1.2）：



  完善一个医生对应多个科室的情况
  将医生的查询和展示功能放到单独页面

05-18（V1.3）：

  
    对有歧义的医生加载规则重新描述
  
","","","3","0","已关闭","已关闭","3","2","0","刘博阳","2021-05-06","Closed","2021-05-25","","","0000-00-00","刘博阳","2021-05-25","已完成","刘博阳","2021-05-25","","","0","医院图片.zip
珊瑚医疗资源展示开发需求V1.0.docx
医院介绍清单0507.xlsx
珊瑚医疗资源展示开发需求V1.1.docx
珊瑚医疗资源展示开发需求V1.2.docx
珊瑚医疗资源展示开发需求V1.3.docx
",""
"148","珊瑚健康管家(#14)","/(#0)","","其他","","珊瑚隐私政策部分内容调整","因为其他原因珊瑚视频医生服务供应商未切换到udesk，协议中视频医生供应商部分做调整
如下方截图部分有修改。
调整完毕可直接上线
<img src=““{420.png}““ alt=““““ />

","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-04-20","Closed","2021-04-22","","","0000-00-00","刘博阳","2021-04-22","已完成","刘博阳","2021-04-22","","","0","6.远盟普惠隐私政策-JTGC20201210 - 0415法务最终审核版.docx
",""
"142","珊瑚健康管家(#14)","/服务卡激活(#53)","","其他","","珊瑚公众号注册隐私政策更新","对珊瑚公众号的用户注册页面中的《远盟健康管理服务平台用户服务协议和隐私政策》的后半部分更新


具体更新内容：
https://lvtong.healthlink.cn/shanhu-manager/html/kaimenhong/registerYinsi.html
保留“十、隐私及个人信息的保护”以及之前的部分，从隐私权政策以及以下的内容全部替换为附件文档内容
word文档中第一次出现的关联方文字需要做成超链接，点击文字后跳转到新H5，H5标题为“关联方名单”，内容按照附件excel填充（word文档内已标注）


需要在下周一4月19号更新上线","","","1","0","已关闭","已关闭","2","0","0","刘博阳","2021-04-16","Closed","2021-04-20","","","0000-00-00","刘博阳","2021-04-20","已完成","刘博阳","2021-04-20","","","0","o-集团签约子公司列表202104清洁版.xlsx
6.远盟普惠隐私政策-JTGC20201210 - 0415法务最终审核版.docx
",""
"141","珊瑚健康管家(#14)","/医疗助手(#56)","","产品经理","","珊瑚视频医生切换udesk","本次切换视频医生供应商仅限于珊瑚公众号，珊瑚API的视频医生服务不变","","","1","0","已关闭","已关闭","2","0","0","刘博阳","2021-04-16","Closed","2021-05-25","","刘博阳","2021-04-16","刘博阳","2021-05-25","已取消","刘博阳","2021-05-25","","","0","珊瑚视频医生切换udesk开发需求1.0.docx
",""
"136","珊瑚健康管家(#14)","/精准健康(#80)","","运营","","健康管理师服务入口关闭","收到运营通知，此项服务考取的认证已被国家取消，未来不在珊瑚继续开展健康管理师认证服务。


将珊瑚公众号主页--精准健康--健康管理师入口关闭","","","3","0","已关闭","已关闭","2","0","0","刘博阳","2021-04-15","Closed","2021-04-20","","","0000-00-00","刘博阳","2021-04-20","已完成","刘博阳","2021-04-20","","","0","",""
"60","珊瑚健康管家(#14)","/(#0)","","","","快捷登录逻辑调整","快捷登录时，允许其他渠道注册的统一用户直接在珊瑚健康管家登录！","","","3","0","已关闭","已关闭","1","0","0","刘博阳","2021-03-22","Closed","2021-03-23","","","0000-00-00","刘博阳","2021-03-23","已完成","刘博阳","2021-03-23","","","0","",""
